bay_id,y_start_m,y_end_m,bay_length_m,chord_mid_m,bay_length_over_chord,placeholder_method,shape_sag_status,risk_reasons,data_needed
B102,11.985677,12.280987,0.29531,0.857777,0.344274,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B103,12.280987,12.576297,0.29531,0.846706,0.348775,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B104,12.576297,12.871607,0.29531,0.835636,0.353396,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B105,12.871607,13.166917,0.29531,0.824565,0.35814,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B106,13.166917,13.462227,0.29531,0.813494,0.363014,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B107,13.462227,13.75929,0.297063,0.802391,0.370222,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B108,13.75929,14.056352,0.297062,0.791255,0.375432,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B109,14.056352,14.353415,0.297063,0.779739,0.380978,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B110,14.353415,14.650478,0.297063,0.767725,0.386939,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B111,14.650478,14.94754,0.297062,0.755711,0.393089,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B112,14.94754,15.244603,0.297063,0.743697,0.399441,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B113,15.244603,15.541665,0.297062,0.731683,0.405998,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B114,15.541665,15.838728,0.297063,0.718773,0.413292,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B115,15.838728,16.13579,0.297062,0.705654,0.420974,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B116,16.13579,16.432853,0.297063,0.692534,0.428951,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B117,16.432853,16.729916,0.297063,0.676678,0.439002,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B118,16.729916,17.026978,0.297062,0.660588,0.449694,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B119,17.026978,17.324041,0.297063,0.645004,0.46056,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
